iter	Passed	Remaining
629	47440	27861
630	47518	27787
631	47603	27718
632	47684	27646
633	47769	27576
634	47853	27506
635	47937	27436
636	48022	27365
637	48092	27287
638	48167	27212
639	48231	27130
640	48307	27055
641	48382	26979
642	48462	26906
643	48555	26841
644	48634	26767
645	48710	26692
646	48791	26620
647	48878	26551
648	48963	26481
649	49037	26404
650	49115	26330
651	49191	26255
652	49277	26185
653	49351	26109
654	49422	26031
655	49484	25949
656	49568	25878
657	49653	25807
658	49730	25733
659	49814	25662
660	49891	25587
661	49948	25502
662	50032	25431
663	50117	25360
664	50195	25286
665	50273	25212
666	50354	25139
667	50434	25066
668	50522	24996
669	50594	24919
670	50654	24836
671	50730	24761
672	50809	24687
673	50897	24618
674	50979	24545
675	51063	24474
676	51145	24401
677	51221	24326
678	51306	24255
679	51390	24183
680	51467	24108
681	51550	24036
682	51627	23961
683	51706	23887
684	51773	23808
685	51852	23734
686	51916	23653
687	51993	23578
688	52075	23505
689	52154	23431
690	52228	23355
691	52305	23280
692	52366	23198
693	52437	23120
694	52516	23046
695	52602	22975
696	52675	22899
697	52758	22826
698	52847	22757
699	52926	22682
700	52996	22604
701	53060	22524
702	53138	22449
703	53218	22375
704	53289	22298
705	53374	22226
706	53455	22153
707	53545	22083
708	53634	22013
709	53718	21941
710	53781	21860
711	53842	21778
712	53930	21708
713	54002	21631
714	54059	21548
715	54140	21474
716	54223	21401
717	54288	21322
718	54378	21252
719	54459	21178
720	54540	21105
721	54603	21024
722	54676	20947
723	54751	20872
724	54833	20799
725	54922	20728
726	55000	20653
727	55060	20571
728	55137	20497
729	55220	20424
730	55293	20347
731	55372	20272
732	55448	20197
733	55534	20125
734	55618	20053
735	55676	19970
736	55750	19894
737	55824	19818
738	55904	19744
739	55980	19668
740	56056	19593
741	56114	19511
742	56202	19440
743	56283	19366
744	56360	19291
745	56446	19218
746	56517	19141
747	56596	19067
748	56666	18989
749	56747	18915
750	56806	18834
751	56864	18753
752	56922	18671
753	56989	18593
754	57067	18518
755	57146	18443
756	57225	18369
757	57304	18295
758	57375	18217
759	57450	18142
760	57528	18067
761	57585	17986
762	57675	17914
763	57732	17833
764	57804	17756
765	57878	17680
766	57956	17606
767	58032	17530
768	58107	17454
769	58191	17381
770	58273	17308
771	58356	17234
772	58437	17160
773	58521	17087
774	58598	17012
775	58682	16939
776	58760	16864
777	58853	16793
778	58931	16718
779	58987	16637
780	59056	16560
781	59137	16485
782	59226	16413
783	59306	16339
784	59395	16267
785	59470	16191
786	59550	16117
787	59608	16036
788	59699	15965
789	59786	15892
790	59860	15816
791	59945	15743
792	60005	15663
793	60094	15591
794	60181	15518
795	60263	15444
796	60346	15370
797	60431	15297
798	60493	15218
799	60578	15144
800	60659	15070
801	60720	14990
802	60798	14915
803	60876	14840
804	60962	14767
805	61044	14693
806	61135	14621
807	61222	14547
808	61311	14475
809	61387	14399
810	61465	14324
811	61541	14248
812	61616	14172
813	61676	14093
814	61745	14015
815	61826	13941
816	61912	13867
817	62000	13794
818	62081	13720
819	62144	13641
820	62217	13565
821	62304	13491
822	62387	13417
823	62476	13344
824	62536	13265
825	62619	13191
826	62699	13116
827	62761	13037
828	62851	12964
829	62943	12892
830	63033	12819
831	63114	12744
832	63201	12670
833	63280	12595
834	63373	12522
835	63444	12446
836	63522	12370
837	63586	12292
838	63669	12217
839	63749	12142
840	63822	12066
841	63889	11988
842	63963	11912
843	64041	11837
844	64122	11762
845	64200	11686
846	64294	11614
847	64374	11538
848	64436	11460
849	64512	11384
850	64589	11308
851	64674	11234
852	64757	11159
853	64851	11086
854	64931	11011
855	64991	10933
856	65067	10857
857	65174	10786
858	65254	10711
859	65334	10635
860	65407	10559
861	65487	10484
862	65548	10405
863	65630	10330
864	65719	10256
865	65808	10182
866	65879	10106
867	65967	10031
868	66048	9956
869	66135	9882
870	66207	9805
871	66283	9729
872	66345	9651
873	66424	9576
874	66506	9500
875	66567	9422
876	66649	9347
877	66723	9271
878	66804	9196
879	66864	9117
880	66949	9043
881	67034	8968
882	67120	8893
883	67198	8817
884	67280	8742
885	67371	8668
886	67457	8593
887	67536	8518
888	67622	8443
889	67689	8366
890	67773	8291
891	67853	8215
892	67932	8139
893	68000	8062
894	68081	7987
895	68165	7912
896	68249	7836
897	68333	7761
898	68421	7686
899	68479	7608
900	68557	7532
901	68633	7456
902	68717	7381
903	68796	7305
904	68870	7229
905	68949	7153
906	69009	7075
907	69096	7000
908	69182	6925
909	69266	6850
910	69352	6775
911	69441	6700
912	69501	6622
913	69577	6546
914	69662	6471
915	69739	6395
916	69817	6319
917	69902	6243
918	69993	6169
919	70081	6094
920	70146	6016
921	70232	5941
922	70314	5865
923	70400	5790
924	70463	5713
925	70544	5637
926	70618	5561
927	70702	5485
928	70786	5409
929	70851	5332
930	70927	5256
931	71008	5180
932	71092	5105
933	71174	5029
934	71246	4952
935	71311	4876
936	71403	4800
937	71492	4725
938	71580	4650
939	71664	4574
940	71743	4498
941	71815	4421
942	71900	4346
943	71956	4268
944	72045	4193
945	72129	4117
946	72203	4040
947	72274	3964
948	72356	3888
949	72430	3812
950	72512	3736
951	72570	3659
952	72643	3582
953	72718	3506
954	72801	3430
955	72890	3354
956	72960	3278
957	73028	3201
958	73117	3125
959	73202	3050
960	73288	2974
961	73368	2898
962	73444	2821
963	73498	2744
964	73580	2668
965	73656	2592
966	73738	2516
967	73801	2439
968	73883	2363
969	73958	2287
970	74030	2210
971	74118	2135
972	74198	2058
973	74277	1982
974	74352	1906
975	74435	1830
976	74510	1754
977	74590	1677
978	74678	1601
979	74763	1525
980	74848	1449
981	74924	1373
982	74984	1296
983	75056	1220
984	75129	1144
985	75220	1068
986	75298	991
987	75380	915
988	75456	839
989	75546	763
990	75628	686
991	75726	610
992	75797	534
993	75860	457
994	75932	381
995	76010	305
996	76099	228
997	76174	152
998	76256	76
999	76316	0
